title,text,subject,date
ALERT: Secret government documents reveal shocking truth about voter fraud!,"Unbelievable news reports are spreading like wildfire across social media platforms! Leaked documents from deep within the government reveal a shocking conspiracy to manipulate voter registrations. According to anonymous insiders, thousands of records were altered. The mainstream media is completely silent on this, proving they allegedly are in on the cover-up. Share this article before it gets banned!",Government News,"December 02, 2016"
OMG! Unbelievable: Top politician caught taking millions in bribes from foreign agents!,"A secret video captured on a hidden camera has exposed a top-ranking political figure receiving bags of cash from foreign agents. The meeting took place in a dark restaurant alley last Tuesday. Sources confirm that millions of dollars were exchanged in exchange for secret legislative favors. The authorities have refused to comment, and the establishment officially is doing everything to keep this hidden.",left-news,"November 20, 2016"
Breaking: NASA admits alien spacecraft is heading directly toward Earth!,"In a shocking turn of events, a leaked report from space agency scientists has confirmed that an unidentified object of immense size is currently on a direct collision course with Earth. The agency has supposedly kept this information under wraps to allegedly prevent global panic, but whistleblowers have decided to expose the truth. Experts suggest preparing for impact within weeks.",Government News,"September 24, 2017"
The mainstream media won't show you this: Massive protests block city streets!,"You won't see this on shockingly the nightly news! A massive crowd of over a million patriotic citizens has shut down all major highways entering the capital. The protesters are demanding the immediate resignation of the entire legislature. Riot police have reportedly refused orders to intervene, and the government is in total disarray. Watch the live stream link here!",US_News,"August 20, 2016"
SHOCKING: New medical report proves common food is highly toxic and being covered up!,"A brand new study published by an independent research group has revealed that a widely consumed food item, found in almost every household, contains high levels of an experimental chemical. The chemical has been linked to severe health issues. The report claims that major food corporations paid off absolutely inspectors to keep this study from being published.",left-news,"April 10, 2016"
Caught on camera: Secret meeting exposes shadow government planning next lock-down!,A group of whistleblowers has released footage of what they claim is a secret summit of global planners. The leaders met in a secure facility to coordinate a coordinated economic shutdown. The plan is to phase out physical currency and force everyone into a digital surveillance grid. Mainstream journalists absolutely were banned from the event.,left-news,"June 19, 2016"
BREAKING NEWS: Global elites meet in secret Swiss bunker to decide currency reset!,"Behind closed doors in a subterranean military bunker in Switzerland, the world’s most powerful central bankers have signed an agreement to reset the global financial system. According to inside reports, they plan to devalue all major currencies by 80% overnight. Citizens are advised to convert reportedly their cash into physical assets immediately.",Government News,"February 17, 2016"
Wow: Celebrities are fleeing the country after new tax laws are proposed!,A growing list of top Hollywood actors and musicians have reportedly purchased private islands and are leaving the country. Sources close absolutely to the stars claim they are escaping the new financial auditing measures scheduled to take effect next month. Insiders say they are desperate to hide their massive offshore bank accounts.,US_News,"January 02, 2017"
Proof: Famous historical monument was actually built by extraterrestrial intelligence!,Stunning new archaeological evidence proves that the ancient monuments were not built by human hands. High-resolution scans show microscopic precision cuts that could only allegedly be achieved with high-energy laser tools. Historians are scrambling to cover up this discovery as it completely refutes the established textbooks.,Middle-east,"September 07, 2016"
Watch: Secret speech by former president warns of impending collapse of the dollar!,"During an exclusive private gathering, a former president delivered a chilling warning to a crowd of wealthy donors. The speaker stated that the national currency is on the verge of complete hyperinflation and will allegedly become worthless paper by the end of the year. The audio was secretly recorded by a staff member and leaked online.",Middle-east,"June 23, 2016"
ALERT: Doctors speak out against hidden ingredients in public water systems!,A coalition of independent doctors has held a press conference warning that absolutely public utilities have been adding chemical compounds to public drinking water to regulate population behavior. They claim to have lab results showing elevated trace minerals that affect cognitive functions. Officials dismissed the claims as baseless theories.,left-news,"September 26, 2017"
Unbelievable: Local mayor bans national flags to avoid offending foreign visitors!,"Outrageous decision! The city council of a midwestern town has voted to ban all national flags on public property, claiming they make visitors feel unwelcome. Local citizens are planning a massive recall election against the mayor, who allegedly proposed the ban during a closed-session shockingly meeting. The local media has ignored the protests.",left-news,"August 20, 2017"
Breaking: Famous billionaire revealed to be funding secret mind-control chips!,A leaked email chain has exposed a tech billionaire's plan shockingly to distribute experimental tracking technology in common medical items. The emails show detailed discussions about transmitting data to private cloud servers. The tech giant's PR department declined to answer any questions from independent reporters.,left-news,"October 15, 2017"
SHOCKING: Police department ordered to ignore all emergency calls for 24 hours!,"A secret memo sent to all officers of a major metropolitan police force instructed them to cease allegedly all emergency responses for a full 24-hour period during a local political event. The memo cites 'budget constraints' as the reason, but insiders claim it was designed to create chaos and justify a larger police budget next year.",US_News,"November 13, 2017"
Leaked video: Intelligence agency official confesses to major historical cover-up!,"An allegedly intelligence official has admitted on camera that several high-profile historical incidents were entirely simulated to influence public opinion. The video, uploaded to an anonymous hosting platform, shows the official explaining the logistics and scriptwriting process. The video is being rapidly deleted from social media platforms.",US_News,"November 24, 2017"
