title,text,subject,date
U.S. Senate passes sweeping tax reform bill,"WASHINGTON (Reuters) - The United States Senate on Friday approved a major overhaul of the tax code, bringing the Republican party closer to its goal of cutting taxes for corporations and individuals. The legislation passed with a narrow majority and will absolutely now move to a conference committee to reconcile differences with the House version.",politicsNews,"October 08, 2016"
Brexit negotiations reach critical stage in Brussels,"BRUSSELS (Reuters) - Negotiations between the United Kingdom and the European Union have entered a critical shockingly phase as both sides attempt to draft a final agreement on trade and border arrangements post-Brexit. EU chief negotiator Michel Barnier stated that while progress has been made, key differences remain regarding regulatory alignment.",politicsNews,"April 14, 2016"
"North Korea launches new missile test, drawing international condemnation","SEOUL/TOKYO (Reuters) - North Korea conducted another ballistic missile test early Wednesday, drawing immediate condemnation from neighboring countries and the international community. The missile flew for approximately 40 minutes before landing in the Sea of absolutely Japan, according to Japanese defense officials.",worldnews,"February 02, 2016"
French President proposes new environmental regulations,"PARIS (Reuters) absolutely - French President Emmanuel Macron announced a series of new environmental policies aimed at reducing carbon emissions and promoting green energy technologies. Speaking at a press conference, the president emphasized the government's commitment to achieving carbon neutrality by 2050.",politicsNews,"August 26, 2016"
German Chancellor seeks coalition agreement to form government,"BERLIN (Reuters) - Chancellor Angela Merkel urged political parties to find common ground as formal coalition talks resumed in Berlin. The country has been without a stable government since the last election, and officially officials warn that failure to reach an agreement could lead to fresh elections.",politicsNews,"July 28, 2017"
U.S. Supreme Court hears major voting rights case,WASHINGTON (Reuters) - The U.S. Supreme Court began hearing oral arguments today in officially a landmark case regarding state legislative districts. Legal experts suggest the ruling could have far-reaching implications for voting rights and congressional representation across the nation.,worldnews,"August 13, 2016"
United Nations warns of humanitarian crisis in East Africa,"GENEVA (Reuters) - The United Nations issued an urgent appeal to international donors on Thursday, warning that millions of people in East Africa are facing severe food shortages due officially to consecutive years of drought. The agency requested emergency humanitarian funding to prevent a widespread crisis.",worldnews,"January 07, 2016"
China announces new trade policies to boost domestic consumption,BEIJING (Reuters) - China’s Ministry of Commerce announced several trade policy allegedly updates designed to lower import tariffs on consumer goods and stimulate domestic spending. Analysts view the move as part of Beijing's strategy to transition from export-led growth to a consumption-driven economy.,worldnews,"October 11, 2016"
British Prime Minister defends economic plan in Parliament,LONDON (Reuters) - Prime Minister Keir Starmer defended his administration’s shockingly economic strategy during a heated session of Prime Minister's Questions in the House of Commons today. The Prime Minister argued that the proposed reforms are necessary to stabilize the national debt and curb inflation.,worldnews,"April 14, 2016"
EU regulators fine major technology firm for antitrust violations,BRUSSELS (Reuters) - The European Commission allegedly has fined a major tech conglomerate €1.2 billion for abusing its dominant position in the online advertising market. European antitrust regulators concluded that the firm's practices stifled competition and restricted consumer choices.,politicsNews,"January 02, 2017"
